id,title,genres,language,user_score,runtime_hour,runtime_min,release_date,vote_count,director,top_billed,budget_usd,revenue_usd
1688,South Park: Post COVID: The Return of COVID,"Animation, Comedy, TV Movie",en,7.4,1,2,2021-12-16,401,Trey Parker,"Trey Parker, Matt Stone, April Stewart, Kimberly Brooks, Mona Marshall",,
1689,Mudbound,Drama,en,7.4,2,15,2017-11-16,1210,Dee Rees,"Carey Mulligan, Jason Clarke, Jason Mitchell, Mary J. Blige, Garrett Hedlund",10000000.0,
1691,Interstate 60,"Adventure, Comedy, Fantasy",en,7.4,1,56,2002-04-13,673,Bob Gale,"James Marsden, Gary Oldman, Amy Smart, Christopher Lloyd, Chris Cooper",7000000.0,
1694,Enola Holmes 2,"Adventure, Mystery, Crime",en,7.4,2,11,2022-11-30,1401,Harry Bradbeer,"Millie Bobby Brown, Henry Cavill, David Thewlis, Louis Partridge, Susan Wokoma",,
1696,"Maggie Simpson in ""Playdate with Destiny""","Animation, Comedy, Family, Romance",en,7.4,0,4,2020-02-29,350,David Silverman,Chris Edgerly,,
1698,I Can Quit Whenever I Want 3: Ad Honorem,"Action, Comedy",it,7.4,1,37,2017-11-30,957,Sydney Sibilia,"Edoardo Leo, Valerio Aprea, Paolo Calabresi, Libero De Rienzo, Stefano Fresi",,
1699,I Am a Hero,"Action, Horror, Drama",ja,7.4,2,6,2016-04-23,418,Shinsuke Sato,"Yo Oizumi, Kasumi Arimura, Masami Nagasawa, Hisashi Yoshizawa, Yoshinori Okada",,
1701,Neon Genesis Evangelion: Death and Rebirth,"Animation, Drama, Science Fiction",ja,7.4,1,41,1997-03-15,433,Hideaki Anno,"Megumi Ogata, Megumi Hayashibara, Yuko Miyamura, Kotono Mitsuishi, Fumihiko Tachiki",,15877.0
1703,Through My Window,"Romance, Drama, Comedy",es,7.4,1,52,2022-02-04,3095,Marçal Forés,"Clara Galle, Julio Peña, Guillermo Lasheras, Natalia Azahara, Hugo Arbues",,
1704,Scooby-Doo! and the Witch's Ghost,"Animation, Comedy, Mystery, Family, Fantasy",en,7.4,1,10,1999-10-05,430,Jim Stenstrum,"Scott Innes, Mary Kay Bergman, Frank Welker, B.J. Ward, Tim Curry",,
1705,Ghost in the Shell 2.0,"Action, Animation, Drama, Crime, Mystery, Science Fiction, Thriller",ja,7.4,1,25,2008-07-12,400,Mamoru Oshii,"Atsuko Tanaka, Akio Otsuka, Koichi Yamadera, Tamio Ohki, Tessyo Genda",,
1707,Boy,"Drama, Comedy",en,7.4,1,27,2010-03-25,406,Taika Waititi,"James Rolleston, Te Aho Aho Eketone-Whitu, Taika Waititi, Moerangi Tihore, Cherilee Martin",,9116968.0
1712,Through the Fire,Drama,fr,7.4,1,56,2018-11-28,667,Frédéric Tellier,"Pierre Niney, Anaïs Demoustier, Vincent Rottiers, Chloé Stefani, Sami Bouajila",,
1714,The Sucker,"Comedy, Crime",fr,7.4,1,51,1965-03-24,642,Gérard Oury,"Bourvil, Louis de Funès, Venantino Venantini, Henri Génès, Beba Lončar",678948.0,
1718,Only Yesterday,"Animation, Drama, Romance",ja,7.4,1,59,1991-07-20,1084,Isao Takahata,"Miki Imai, Toshiro Yanagiba, Yoko Honna, Mayumi Izuka, Masahiro Itou",,473110.0
1722,Scooby-Doo! WrestleMania Mystery,"Animation, Comedy, Family, Mystery",en,7.4,1,24,2014-03-11,313,Brandon Vietti,"Frank Welker, Matthew Lillard, Grey DeLisle, Mindy Cohn, April Jeanette Mendez",,
1723,Caro diario,"Comedy, Drama",it,7.4,1,41,1993-10-12,464,Nanni Moretti,"Nanni Moretti, Renato Carpentieri, Antonio Neiwiller, Claudia Della Seta, Lorenzo Alessandri",,
1724,Rudolph the Red-Nosed Reindeer,"Animation, Family, TV Movie",en,7.4,0,52,1964-12-06,566,Larry Roemer,"Burl Ives, Billie Mae Richards, Larry D. Mann, Stan Francis, Paul Kligman",,
1726,The Best of Enemies,"Drama, History",en,7.4,2,13,2019-04-05,417,Robin Bissell,"Taraji P. Henson, Sam Rockwell, Babou Ceesay, Anne Heche, Wes Bentley",10000000.0,
1727,Submarine,"Drama, Comedy, Romance",en,7.4,1,37,2011-03-18,1433,Richard Ayoade,"Noah Taylor, Paddy Considine, Craig Roberts, Yasmin Paige, Sally Hawkins",,864659.0
1733,Ghostland,"Horror, Mystery, Thriller",en,7.4,1,31,2018-03-14,2382,Pascal Laugier,"Crystal Reed, Mylène Farmer, Anastasia Phillips, Emilia Jones, Taylor Hickson",,
1734,First They Killed My Father,"War, Drama, History",en,7.4,2,16,2017-02-18,663,Angelina Jolie,"Sareum Srey Moch, Phoeung Kompheak, Sveng Socheata, Mun Kimhak, Heng Dara",24000000.0,
1736,Pelé: Birth of a Legend,Drama,en,7.4,1,47,2016-05-06,1067,Jeff Zimbalist,"Kevin de Paula, Leonardo Lima Carvalho, Seu Jorge, Milton Gonçalves, Seth Michaels",,27312.0
1740,Teen Titans: The Judas Contract,"Science Fiction, Animation, Action",en,7.4,1,24,2017-03-31,691,Sam Liu,"Stuart Allan, Jake T. Austin, Taissa Farmiga, Christina Ricci, Brandon Soo Hoo",,
1743,Belle de Jour,"Drama, Romance",fr,7.4,1,41,1967-05-24,878,Luis Buñuel,"Catherine Deneuve, Jean Sorel, Michel Piccoli, Geneviève Page, Pierre Clémenti",,
1744,Sissi,"Comedy, Drama, Romance",de,7.4,1,42,1955-12-22,467,Ernst Marischka,"Romy Schneider, Karlheinz Böhm, Magda Schneider, Uta Franz, Gustav Knuth",,
1745,La Chimera,"Drama, Fantasy, Comedy",it,7.4,2,11,2023-10-12,367,Alice Rohrwacher,"Josh O'Connor, Carol Duarte, Alba Rohrwacher, Isabella Rossellini, Vincenzo Nemolato",,4933288.0
1746,The Collini Case,"Drama, Thriller",de,7.4,1,58,2019-04-18,383,Marco Kreuzpaintner,"Elyas M'Barek, Heiner Lauterbach, Alexandra Maria Lara, Jannis Niewöhner, Rainer Bock",,
1750,Superman II: The Richard Donner Cut,"Science Fiction, Action, Adventure",en,7.4,1,56,2006-11-02,304,Richard Donner,"Christopher Reeve, Margot Kidder, Gene Hackman, Marlon Brando, Ned Beatty",54000000.0,
1751,I Can Quit Whenever I Want 2: Masterclass,"Action, Comedy, Crime",it,7.4,1,53,2017-02-02,1209,Sydney Sibilia,"Edoardo Leo, Valerio Aprea, Stefano Fresi, Paolo Calabresi, Libero De Rienzo",,
