id,title,genres,language,user_score,runtime_hour,runtime_min,release_date,vote_count,director,top_billed,budget_usd,revenue_usd
7846,Tanguy,Comedy,fr,6.0,1,48,2001-11-21,457,Étienne Chatiliez,"Éric Berger, Sabine Azéma, André Dussollier, Hélène Duc, Aurore Clément",,24272365.0
7847,The Valet,Comedy,fr,6.0,1,25,2006-03-29,510,Francis Veber,"Gad Elmaleh, Alice Taglioni, Daniel Auteuil, Kristin Scott Thomas, Richard Berry",,29326868.0
7860,The Overnight,"Mystery, Comedy",en,6.0,1,19,2015-06-19,328,Patrick Brice,"Adam Scott, Taylor Schilling, Jason Schwartzman, Judith Godrèche, RJ Hermes",,1100000.0
7861,I Love You in Every Language in the World,"Romance, Comedy",it,6.0,1,39,2005-12-16,480,Leonardo Pieraccioni,"Leonardo Pieraccioni, Giorgio Panariello, Marjo Berasategui, Rocco Papaleo, Massimo Ceccherini",,23941317.0
7872,War of the Buttons,"Adventure, Family",fr,6.0,1,40,2011-09-21,468,Christophe Barratier,"Jean Texier, Clément Godefroy, Théophile Baquet, Louis Dussol, Harold Werner",,15000000.0
7893,Wild Hogs,"Action, Adventure, Comedy",en,6.0,1,40,2007-03-02,2261,Walt Becker,"Tim Allen, John Travolta, Martin Lawrence, William H. Macy, Ray Liotta",,253625427.0
7894,The Courier,"Action, Thriller, Adventure, Crime",en,6.0,1,39,2019-11-22,532,Zackary Adler,"Olga Kurylenko, Gary Oldman, Dermot Mulroney, William Moseley, Alicia Agneson",,4700862.0
7901,Gloria Bell,"Drama, Romance",en,6.0,1,42,2019-03-07,312,Sebastián Lelio,"Julianne Moore, John Turturro, Michael Cera, Caren Pistorius, Brad Garrett",,11145006.0
7943,Thanks for Sharing,"Comedy, Drama",en,5.9,1,52,2013-09-19,543,Stuart Blumberg,"Mark Ruffalo, Gwyneth Paltrow, Tim Robbins, Josh Gad, Pink",,3499442.0
7949,The Queen's Corgi,"Family, Animation",en,5.9,1,25,2019-02-13,419,Ben Stassen,"Rusty Shackleford, Jo Wyatt, Mari Devon, Dino Andrade, Joey Camen",,35515687.0
7957,National Security,"Action, Comedy, Crime",en,5.9,1,29,2003-01-17,957,Dennis Dugan,"Martin Lawrence, Steve Zahn, Colm Feore, Bill Duke, Eric Roberts",,50097949.0
7958,D3: The Mighty Ducks,"Comedy, Action, Family, Drama",en,5.9,1,44,1996-10-04,448,Rob Lieberman,"Emilio Estevez, Jeffrey Nordling, David Selby, Heidi Kling, Joshua Jackson",,22955097.0
7959,Monster Family,"Animation, Family, Fantasy, Comedy",en,5.9,1,33,2017-08-24,338,Holger Tappe,"Emily Watson, Nick Frost, Jessica Brown Findlay, Ethan Rouse, Jason Isaacs",,26441892.0
7960,The Ones Below,Thriller,en,5.9,1,27,2016-03-11,342,David Farr,"Stephen Campbell Moore, Clémence Poésy, David Morrissey, Laura Birn, Deborah Findlay",,121827.0
7966,She's Funny That Way,"Comedy, Romance",en,5.9,1,33,2015-04-22,648,Peter Bogdanovich,"Owen Wilson, Imogen Poots, Kathryn Hahn, Will Forte, Lucy Punch",,3118433.0
