id,title,genres,language,user_score,runtime_hour,runtime_min,release_date,vote_count,director,top_billed,budget_usd,revenue_usd
5841,The Party 2,"Comedy, Romance, Drama",fr,6.4,1,49,1982-12-08,619,Claude Pinoteau,"Claude Brasseur, Brigitte Fossey, Sophie Marceau, Denise Grey, Pierre Cosso",,
5842,32 Malasana Street,"Drama, Horror",es,6.4,1,45,2020-01-17,649,Albert Pintó,"Begoña Vargas, Iván Marcos, Bea Segura, Sergio Castellanos, José Luis de Madariaga",,
5844,Headshot,"Action, Thriller, Drama",id,6.4,1,57,2016-09-24,432,Timo Tjahjanto,"Iko Uwais, Chelsea Islan, Sunny Pang, Julie Estelle, Very Tri Yulisman",,
5849,Ice Age: A Mammoth Christmas,"Animation, Family, TV Movie",en,6.4,0,26,2011-11-24,636,Karen Disher,"Billy Gardell, Ray Romano, John Leguizamo, Queen Latifah, Denis Leary",,
5850,The Kill Team,"War, Action, Drama",en,6.4,1,27,2019-10-17,387,Dan Krauss,"Nat Wolff, Alexander Skarsgård, Adam Long, Jonathan Whitesell, Brian Marc",,
5853,Operation Christmas Drop,"Comedy, Family, Romance, TV Movie",en,6.4,1,35,2020-11-05,541,Martin Wood,"Kat Graham, Alexander Ludwig, Virginia Madsen, Janet Kidder, Jeffrey Joseph",,
5855,Marvel One-Shot: Item 47,"Science Fiction, Action, Fantasy",en,6.4,0,12,2012-08-29,537,Louis D'Esposito,"Lizzy Caplan, Jesse Bradford, Maximiliano Hernández, Titus Welliver",,
5857,Skins,"Drama, Comedy",es,6.4,1,18,2017-06-09,524,Eduardo Casanova,"Ana Polvorosa, Carmen Machi, Macarena Gómez, Candela Peña, Jon Kortajarena",,
5862,DJ Cinderella,"Romance, Comedy",pt,6.4,1,34,2019-02-28,331,Bruno Garotti,"Maisa Silva, Filipe Bragança, Fernanda Paes Leme, Letícia Pedro, Kiria Malheiros",,
5863,Just Before I Go,"Comedy, Drama, Romance",en,6.4,1,35,2015-04-24,321,Courteney Cox,"Seann William Scott, Olivia Thirlby, Kate Walsh, Garret Dillahunt, Rob Riggle",,
5866,Leave the World Behind,"Drama, Mystery, Thriller",en,6.4,2,22,2023-11-22,2452,Sam Esmail,"Julia Roberts, Ethan Hawke, Mahershala Ali, Myha'la, Farrah Mackenzie",,
5868,9 Month Stretch,Comedy,fr,6.4,1,22,2013-09-07,555,Albert Dupontel,"Sandrine Kiberlain, Albert Dupontel, Nicolas Marié, Philippe Uchan, Philippe Duquesne",,
5877,A California Christmas,"Comedy, Romance, Drama",en,6.4,1,46,2020-12-14,327,Shaun Paul Piccinino,"Lorynn York, Josh Swickard, Ali Afshar, David Del Rio, Natalia Mann",,
5879,Light of My Life,"Science Fiction, Drama",en,6.4,1,59,2019-08-09,517,Casey Affleck,"Casey Affleck, Anna Pniowsky, Elisabeth Moss, Tom Bower, Timothy Webber",,
5885,Single All the Way,"Romance, Comedy",en,6.4,1,39,2021-12-02,364,Michael Mayer,"Michael Urie, Philemon Chambers, Luke Macfarlane, Jennifer Coolidge, Kathy Najimy",,
5892,The Last Mercenary,"Action, Comedy",fr,6.4,1,50,2021-07-30,607,David Charhon,"Jean-Claude Van Damme, Alban Ivanov, Samir Decazza, Assa Sylla, Eric Judor",,
5893,His House,"Drama, Horror",en,6.4,1,33,2020-01-27,1068,Remi Weekes,"Sope Dirisu, Wunmi Mosaku, Malaika Wakoli-Abigaba, Matt Smith, Javier Botet",,
5895,Blind Date,"Comedy, Romance, Drama",fr,6.4,1,30,2015-05-06,540,Clovis Cornillac,"Clovis Cornillac, Mélanie Bernier, Lilou Fogli, Philippe Duquesne, Oscar Copp",,
5896,The Discord,Comedy,fr,6.4,1,30,1978-03-16,304,Claude Zidi,"Louis de Funès, Annie Girardot, Maurice Risch, Jean-Jacques Moreau, Geneviève Fontanel",,
5900,Fear,Thriller,en,6.4,1,37,1996-04-12,817,James Foley,"Mark Wahlberg, Reese Witherspoon, William Petersen, Alyssa Milano, Amy Brenneman",,
5902,Murder Mystery 2,"Mystery, Comedy, Crime",en,6.4,1,31,2023-03-28,1675,Jeremy Garelick,"Adam Sandler, Jennifer Aniston, Mark Strong, Mélanie Laurent, Jodie Turner-Smith",,
5903,Eurovision Song Contest: The Story of Fire Saga,"Comedy, Music",en,6.4,2,3,2020-06-26,1404,David Dobkin,"Rachel McAdams, Will Ferrell, Pierce Brosnan, Dan Stevens, Jamie Demetriou",,
5908,Revenge of the Nerds,Comedy,en,6.4,1,30,1984-07-20,720,Jeff Kanew,"Robert Carradine, Anthony Edwards, Timothy Busfield, Curtis Armstrong, Larry B. Scott",,
5911,Reality,"Drama, Thriller",en,6.4,1,23,2023-06-02,386,Tina Satter,"Sydney Sweeney, Josh Hamilton, Marchánt Davis, Benny Elledge, John Way",,
5913,Return,"Drama, Fantasy",en,6.4,0,18,2020-01-28,517,Mark Berezov,"Anish Bhat, James Jay",,
5914,Sniper: Ultimate Kill,Action,en,6.4,1,33,2017-10-03,331,Claudio Fäh,"Chad Michael Collins, Danay García, Joe Lando, Billy Zane, Tom Berenger",,
5920,I Do,"Comedy, Romance",fr,6.4,1,30,2006-11-01,312,Eric Lartigau,"Alain Chabat, Bernadette Lafont, Charlotte Gainsbourg, Wladimir Yordanoff, Louise Monot",,
5924,Happy Family,Comedy,it,6.4,1,30,2010-03-26,300,Gabriele Salvatores,"Fabio De Luigi, Fabrizio Bentivoglio, Margherita Buy, Alice Croci, Valeria Bilello",,
5927,Reality,"Drama, Thriller",en,6.4,1,23,2023-06-02,386,Tina Satter,"Sydney Sweeney, Josh Hamilton, Marchánt Davis, Benny Elledge, John Way",,
5932,Easy Virtue,"Comedy, Romance",en,6.4,1,33,2008-11-07,404,Stephan Elliott,"Jessica Biel, Ben Barnes, Kristin Scott Thomas, Colin Firth, Kimberley Nixon",,
5935,Mayhem,"Action, Comedy, Horror",en,6.4,1,27,2017-11-10,673,Joe Lynch,"Steven Yeun, Samara Weaving, Steven Brand, Caroline Chikezie, Kerry Fox",,
5944,The Barbie Diaries,"Family, Animation",en,6.4,1,10,2006-05-17,371,Kallan Kagan,"Kelly Sheridan, Sarah Edmondson, Venus Terzo, Matt Hill, Chiara Zanni",,
5945,Asterix the Gaul,"Family, Animation, Adventure, Comedy",fr,6.4,1,8,1967-12-20,727,Ray Goossens,"Roger Carel, Jacques Morel, Pierre Tornade, Jacques Jouanneau, Lucien Raimbourg",,
5950,Jackpot!,"Comedy, Science Fiction, Action",en,6.4,1,47,2024-08-13,551,Paul Feig,"Awkwafina, John Cena, Simu Liu, Ayden Mayeri, Donald Watkins",,
5967,Black Box,"Horror, Science Fiction, Thriller",en,6.4,1,40,2020-10-06,529,"Emmanuel Osei-Kuffour, Jr.","Mamoudou Athie, Phylicia Rashād, Amanda Christine, Tosin Morohunfola, Charmaine Bingwa",,
5968,The Guilty,"Drama, Thriller",en,6.4,1,31,2021-09-24,2630,Antoine Fuqua,"Jake Gyllenhaal, Ethan Hawke, Riley Keough, Peter Sarsgaard, Christina Vidal",,
5980,Kronk's New Groove,"Animation, Comedy, Family",en,6.4,1,15,2005-12-05,1257,Saul Blinkoff,"Patrick Warburton, Tracey Ullman, Eartha Kitt, David Spade, John Goodman",,
5990,You Are So Not Invited to My Bat Mitzvah,Comedy,en,6.4,1,43,2023-08-18,409,Sammi Cohen,"Idina Menzel, Jackie Sandler, Adam Sandler, Sadie Sandler, Sunny Sandler",,
5991,Mr. Harrigan's Phone,"Drama, Horror, Mystery",en,6.4,1,45,2022-10-05,821,John Lee Hancock,"Donald Sutherland, Jaeden Martell, Kirby Howell-Baptiste, Joe Tippett, Cyrus Arnold",,
5992,Return,Drama,en,6.4,0,45,2015-01-01,918,Haqi Ali,"Julie Thursham, Dave Kukadia, Roger Camden, Predentia Dixon, Sarah Gordon",,
6002,The Knight Before Christmas,"Comedy, Romance",en,6.4,1,32,2019-11-21,1098,Monika Mitchell,"Vanessa Hudgens, Josh Whitehouse, Emmanuelle Chriqui, Harry Jarvis, Ella Kenion",,
6009,Miami Supercops,"Action, Comedy",it,6.4,1,36,1985-12-11,417,Bruno Corbucci,"Terence Hill, Bud Spencer, C.B. Seay, William 'Bo' Jim, Ken Ceresne",,
6011,"My Donkey, My Lover & I","Comedy, Adventure, Romance",fr,6.4,1,37,2020-09-16,338,Caroline Vignal,"Laure Calamy, Benjamin Lavernhe, Olivia Côte, Marc Fraize, Jean-Pierre Martins",,
6015,The Closet,Comedy,fr,6.4,1,24,2001-01-17,482,Francis Veber,"Daniel Auteuil, Gérard Depardieu, Thierry Lhermitte, Michèle Laroque, Michel Aumont",,
